amplitude_induced;modulation_induced;subjects;alpha_pos;validity;pos_attended;validity_pos_attended;targ_pos;alpha_pos_targ;alpha_electrodes;time
5.7204909324646;-6.25614189176518;3;alpha_contra_left_stim;valid;left;valid_left;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.49196481704712;-4.24035962936252;3;alpha_contra_right_stim;valid;left;valid_left;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
5.66916656494141;-7.09721380034632;3;alpha_contra_left_stim;valid;left;valid_left;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.59766483306885;-2.39734062640148;3;alpha_contra_right_stim;valid;left;valid_left;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
5.95026922225952;-2.49067776478898;3;alpha_contra_left_stim;valid;left;valid_left;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.54916000366211;-3.24308621563228;3;alpha_contra_right_stim;valid;left;valid_left;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
5.96307802200317;-2.28077509736383;3;alpha_contra_left_stim;valid;left;valid_left;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
5.48100614547729;-4.43143850248439;3;alpha_contra_right_stim;valid;left;valid_left;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
6.35105562210083;0;3;alpha_contra_left_stim;valid;right;valid_right;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.57377529144287;0;3;alpha_contra_right_stim;valid;right;valid_right;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
6.09992742538452;-3.95411742014061;3;alpha_contra_left_stim;valid;right;valid_right;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.66541814804077;1.64417924666957;3;alpha_contra_right_stim;valid;right;valid_right;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
5.96047496795654;-6.14985409331196;3;alpha_contra_left_stim;valid;right;valid_right;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.56480932235718;-0.160859895077903;3;alpha_contra_right_stim;valid;right;valid_right;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
6.26822328567505;-1.30422942821561;3;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.83755493164063;4.73251299891335;3;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
6.20243072509766;-2.34016053151824;3;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.73242950439453;2.84644078126426;3;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
6.12148380279541;-3.61470333382912;3;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
